AGLOMERADO,CH03,CH04,CH06,CH07,CH08,CH09,CH15,es_estudiante,ESTADO,CAT_OCUP,CAT_INAC,IV1,IV2,IV6,IV8,II8,IX_TOT,V2,V14,EDUC,horastrab,EDAD_2,ITF,ANIO,pobre
18.0,3.0,0,14.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,18.0,0.0,196.0,2380.0,2005.0,0
18.0,3.0,0,7.0,5.0,1,1.0,1.0,1,4.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,0.0,49.0,2380.0,2005.0,0
18.0,1.0,1,34.0,2.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,10.0,84.0,1156.0,300.0,2005.0,1
18.0,2.0,0,36.0,2.0,0,1.0,1.0,0,3.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,12.0,0.0,1296.0,300.0,2005.0,1
18.0,3.0,0,8.0,5.0,0,1.0,1.0,1,4.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,64.0,300.0,2005.0,1
18.0,3.0,0,3.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,9.0,300.0,2005.0,1
18.0,3.0,1,1.0,5.0,0,3.0,1.0,0,4.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,300.0,2005.0,1
18.0,1.0,1,55.0,2.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,7.0,40.0,3025.0,700.0,2005.0,1
18.0,2.0,0,48.0,2.0,1,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,7.0,0.0,2304.0,700.0,2005.0,1
18.0,3.0,0,20.0,5.0,0,1.0,1.0,0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,12.0,0.0,400.0,700.0,2005.0,1
18.0,3.0,0,16.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,11.0,0.0,256.0,700.0,2005.0,1
18.0,3.0,0,14.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,2.0,0.0,196.0,700.0,2005.0,1
18.0,5.0,0,8.0,5.0,0,1.0,1.0,1,4.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,2.0,0.0,64.0,700.0,2005.0,1
18.0,5.0,0,6.0,5.0,0,1.0,1.0,1,4.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,0.0,0.0,36.0,700.0,2005.0,1
18.0,5.0,0,4.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,0.0,0.0,16.0,700.0,2005.0,1
